"chp","chcp_name","ig_2001"
"S03000015","East Dunbartonshire Community Health Partnership","S02000264"
"S03000015","East Dunbartonshire Community Health Partnership","S02000279"
"S03000015","East Dunbartonshire Community Health Partnership","S02000260"
"S03000015","East Dunbartonshire Community Health Partnership","S02000263"
"S03000015","East Dunbartonshire Community Health Partnership","S02000265"
"S03000015","East Dunbartonshire Community Health Partnership","S02000271"
"S03000015","East Dunbartonshire Community Health Partnership","S02000269"
"S03000015","East Dunbartonshire Community Health Partnership","S02000266"
"S03000015","East Dunbartonshire Community Health Partnership","S02000272"
"S03000015","East Dunbartonshire Community Health Partnership","S02000273"
"S03000015","East Dunbartonshire Community Health Partnership","S02000276"
"S03000015","East Dunbartonshire Community Health Partnership","S02000285"
"S03000015","East Dunbartonshire Community Health Partnership","S02000282"
"S03000015","East Dunbartonshire Community Health Partnership","S02000284"
"S03000015","East Dunbartonshire Community Health Partnership","S02000261"
"S03000015","East Dunbartonshire Community Health Partnership","S02000262"
"S03000015","East Dunbartonshire Community Health Partnership","S02000268"
"S03000015","East Dunbartonshire Community Health Partnership","S02000270"
"S03000015","East Dunbartonshire Community Health Partnership","S02000278"
"S03000015","East Dunbartonshire Community Health Partnership","S02000283"
"S03000015","East Dunbartonshire Community Health Partnership","S02000287"
"S03000015","East Dunbartonshire Community Health Partnership","S02000286"
"S03000015","East Dunbartonshire Community Health Partnership","S02000281"
"S03000015","East Dunbartonshire Community Health Partnership","S02000277"
"S03000015","East Dunbartonshire Community Health Partnership","S02000275"
"S03000015","East Dunbartonshire Community Health Partnership","S02000280"
"S03000015","East Dunbartonshire Community Health Partnership","S02000274"
"S03000015","East Dunbartonshire Community Health Partnership","S02000267"
"S03000016","East Glasgow Community Health & Care Partnership","S02000635"
"S03000016","East Glasgow Community Health & Care Partnership","S02000650"
"S03000016","East Glasgow Community Health & Care Partnership","S02000648"
"S03000016","East Glasgow Community Health & Care Partnership","S02000633"
"S03000016","East Glasgow Community Health & Care Partnership","S02000659"
"S03000016","East Glasgow Community Health & Care Partnership","S02000629"
"S03000016","East Glasgow Community Health & Care Partnership","S02000620"
"S03000016","East Glasgow Community Health & Care Partnership","S02000643"
"S03000016","East Glasgow Community Health & Care Partnership","S02000654"
"S03000016","East Glasgow Community Health & Care Partnership","S02000640"
"S03000016","East Glasgow Community Health & Care Partnership","S02000632"
"S03000016","East Glasgow Community Health & Care Partnership","S02000646"
"S03000016","East Glasgow Community Health & Care Partnership","S02000636"
"S03000016","East Glasgow Community Health & Care Partnership","S02000623"
"S03000016","East Glasgow Community Health & Care Partnership","S02000657"
"S03000016","East Glasgow Community Health & Care Partnership","S02000630"
"S03000016","East Glasgow Community Health & Care Partnership","S02000611"
"S03000016","East Glasgow Community Health & Care Partnership","S02000613"
"S03000016","East Glasgow Community Health & Care Partnership","S02000618"
"S03000016","East Glasgow Community Health & Care Partnership","S02000667"
"S03000016","East Glasgow Community Health & Care Partnership","S02000663"
"S03000016","East Glasgow Community Health & Care Partnership","S02000652"
"S03000016","East Glasgow Community Health & Care Partnership","S02000674"
"S03000016","East Glasgow Community Health & Care Partnership","S02000653"
"S03000016","East Glasgow Community Health & Care Partnership","S02000662"
"S03000016","East Glasgow Community Health & Care Partnership","S02000619"
"S03000016","East Glasgow Community Health & Care Partnership","S02000645"
"S03000016","East Glasgow Community Health & Care Partnership","S02000626"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000325"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000326"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000320"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000327"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000323"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000316"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000318"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000324"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000328"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000310"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000317"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000315"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000319"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000312"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000313"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000311"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000314"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000329"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000321"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000322"
"S03000018","Inverclyde Community Health Partnership","S02000772"
"S03000018","Inverclyde Community Health Partnership","S02000771"
"S03000018","Inverclyde Community Health Partnership","S02000775"
"S03000018","Inverclyde Community Health Partnership","S02000776"
"S03000018","Inverclyde Community Health Partnership","S02000774"
"S03000018","Inverclyde Community Health Partnership","S02000781"
"S03000018","Inverclyde Community Health Partnership","S02000784"
"S03000018","Inverclyde Community Health Partnership","S02000780"
"S03000018","Inverclyde Community Health Partnership","S02000783"
"S03000018","Inverclyde Community Health Partnership","S02000778"
"S03000018","Inverclyde Community Health Partnership","S02000779"
"S03000018","Inverclyde Community Health Partnership","S02000777"
"S03000018","Inverclyde Community Health Partnership","S02000773"
"S03000018","Inverclyde Community Health Partnership","S02000782"
"S03000018","Inverclyde Community Health Partnership","S02000785"
"S03000018","Inverclyde Community Health Partnership","S02000787"
"S03000018","Inverclyde Community Health Partnership","S02000786"
"S03000019","North Glasgow Community Health & Care Partnership","S02000702"
"S03000019","North Glasgow Community Health & Care Partnership","S02000690"
"S03000019","North Glasgow Community Health & Care Partnership","S02000688"
"S03000019","North Glasgow Community Health & Care Partnership","S02000710"
"S03000019","North Glasgow Community Health & Care Partnership","S02000700"
"S03000019","North Glasgow Community Health & Care Partnership","S02000704"
"S03000019","North Glasgow Community Health & Care Partnership","S02000685"
"S03000019","North Glasgow Community Health & Care Partnership","S02000693"
"S03000019","North Glasgow Community Health & Care Partnership","S02000692"
"S03000019","North Glasgow Community Health & Care Partnership","S02000701"
"S03000019","North Glasgow Community Health & Care Partnership","S02000670"
"S03000019","North Glasgow Community Health & Care Partnership","S02000676"
"S03000019","North Glasgow Community Health & Care Partnership","S02000680"
"S03000019","North Glasgow Community Health & Care Partnership","S02000691"
"S03000019","North Glasgow Community Health & Care Partnership","S02000694"
"S03000019","North Glasgow Community Health & Care Partnership","S02000666"
"S03000019","North Glasgow Community Health & Care Partnership","S02000697"
"S03000019","North Glasgow Community Health & Care Partnership","S02000687"
"S03000019","North Glasgow Community Health & Care Partnership","S02000678"
"S03000019","North Glasgow Community Health & Care Partnership","S02000695"
"S03000019","North Glasgow Community Health & Care Partnership","S02000713"
"S03000019","North Glasgow Community Health & Care Partnership","S02000708"
"S03000029","North Lanarkshire Community Health Partnership","S02000884"
"S03000029","North Lanarkshire Community Health Partnership","S02000921"
"S03000029","North Lanarkshire Community Health Partnership","S02000932"
"S03000029","North Lanarkshire Community Health Partnership","S02000922"
"S03000029","North Lanarkshire Community Health Partnership","S02000942"
"S03000029","North Lanarkshire Community Health Partnership","S02000923"
"S03000029","North Lanarkshire Community Health Partnership","S02000924"
"S03000029","North Lanarkshire Community Health Partnership","S02000940"
"S03000029","North Lanarkshire Community Health Partnership","S02000941"
"S03000029","North Lanarkshire Community Health Partnership","S02000934"
"S03000029","North Lanarkshire Community Health Partnership","S02000939"
"S03000029","North Lanarkshire Community Health Partnership","S02000931"
"S03000029","North Lanarkshire Community Health Partnership","S02000933"
"S03000029","North Lanarkshire Community Health Partnership","S02000930"
"S03000029","North Lanarkshire Community Health Partnership","S02000929"
"S03000029","North Lanarkshire Community Health Partnership","S02000935"
"S03000029","North Lanarkshire Community Health Partnership","S02000938"
"S03000029","North Lanarkshire Community Health Partnership","S02000937"
"S03000029","North Lanarkshire Community Health Partnership","S02000928"
"S03000029","North Lanarkshire Community Health Partnership","S02000927"
"S03000029","North Lanarkshire Community Health Partnership","S02000936"
"S03000029","North Lanarkshire Community Health Partnership","S02000926"
"S03000029","North Lanarkshire Community Health Partnership","S02000925"
"S03000029","North Lanarkshire Community Health Partnership","S02000907"
"S03000029","North Lanarkshire Community Health Partnership","S02000919"
"S03000029","North Lanarkshire Community Health Partnership","S02000895"
"S03000029","North Lanarkshire Community Health Partnership","S02000899"
"S03000029","North Lanarkshire Community Health Partnership","S02000898"
"S03000029","North Lanarkshire Community Health Partnership","S02000901"
"S03000029","North Lanarkshire Community Health Partnership","S02000886"
"S03000029","North Lanarkshire Community Health Partnership","S02000881"
"S03000029","North Lanarkshire Community Health Partnership","S02000876"
"S03000029","North Lanarkshire Community Health Partnership","S02000878"
"S03000029","North Lanarkshire Community Health Partnership","S02000885"
"S03000029","North Lanarkshire Community Health Partnership","S02000880"
"S03000029","North Lanarkshire Community Health Partnership","S02000874"
"S03000029","North Lanarkshire Community Health Partnership","S02000870"
"S03000029","North Lanarkshire Community Health Partnership","S02000879"
"S03000029","North Lanarkshire Community Health Partnership","S02000882"
"S03000029","North Lanarkshire Community Health Partnership","S02000883"
"S03000029","North Lanarkshire Community Health Partnership","S02000887"
"S03000029","North Lanarkshire Community Health Partnership","S02000893"
"S03000029","North Lanarkshire Community Health Partnership","S02000896"
"S03000029","North Lanarkshire Community Health Partnership","S02000900"
"S03000029","North Lanarkshire Community Health Partnership","S02000891"
"S03000029","North Lanarkshire Community Health Partnership","S02000906"
"S03000029","North Lanarkshire Community Health Partnership","S02000871"
"S03000029","North Lanarkshire Community Health Partnership","S02000873"
"S03000029","North Lanarkshire Community Health Partnership","S02000877"
"S03000029","North Lanarkshire Community Health Partnership","S02000872"
"S03000029","North Lanarkshire Community Health Partnership","S02000875"
"S03000029","North Lanarkshire Community Health Partnership","S02000892"
"S03000029","North Lanarkshire Community Health Partnership","S02000897"
"S03000029","North Lanarkshire Community Health Partnership","S02000888"
"S03000029","North Lanarkshire Community Health Partnership","S02000890"
"S03000029","North Lanarkshire Community Health Partnership","S02000913"
"S03000029","North Lanarkshire Community Health Partnership","S02000916"
"S03000029","North Lanarkshire Community Health Partnership","S02000911"
"S03000029","North Lanarkshire Community Health Partnership","S02000915"
"S03000029","North Lanarkshire Community Health Partnership","S02000909"
"S03000029","North Lanarkshire Community Health Partnership","S02000904"
"S03000029","North Lanarkshire Community Health Partnership","S02000905"
"S03000029","North Lanarkshire Community Health Partnership","S02000908"
"S03000029","North Lanarkshire Community Health Partnership","S02000920"
"S03000029","North Lanarkshire Community Health Partnership","S02000918"
"S03000029","North Lanarkshire Community Health Partnership","S02000917"
"S03000029","North Lanarkshire Community Health Partnership","S02000912"
"S03000029","North Lanarkshire Community Health Partnership","S02000910"
"S03000029","North Lanarkshire Community Health Partnership","S02000903"
"S03000029","North Lanarkshire Community Health Partnership","S02000914"
"S03000029","North Lanarkshire Community Health Partnership","S02000902"
"S03000029","North Lanarkshire Community Health Partnership","S02000894"
"S03000029","North Lanarkshire Community Health Partnership","S02000889"
"S03000020","Renfrewshire Community Health Partnership","S02001016"
"S03000020","Renfrewshire Community Health Partnership","S02001007"
"S03000020","Renfrewshire Community Health Partnership","S02000989"
"S03000020","Renfrewshire Community Health Partnership","S02001000"
"S03000020","Renfrewshire Community Health Partnership","S02001004"
"S03000020","Renfrewshire Community Health Partnership","S02001006"
"S03000020","Renfrewshire Community Health Partnership","S02001010"
"S03000020","Renfrewshire Community Health Partnership","S02000997"
"S03000020","Renfrewshire Community Health Partnership","S02000999"
"S03000020","Renfrewshire Community Health Partnership","S02001001"
"S03000020","Renfrewshire Community Health Partnership","S02000995"
"S03000020","Renfrewshire Community Health Partnership","S02001003"
"S03000020","Renfrewshire Community Health Partnership","S02001002"
"S03000020","Renfrewshire Community Health Partnership","S02000994"
"S03000020","Renfrewshire Community Health Partnership","S02000996"
"S03000020","Renfrewshire Community Health Partnership","S02001015"
"S03000020","Renfrewshire Community Health Partnership","S02000988"
"S03000020","Renfrewshire Community Health Partnership","S02001008"
"S03000020","Renfrewshire Community Health Partnership","S02000983"
"S03000020","Renfrewshire Community Health Partnership","S02000984"
"S03000020","Renfrewshire Community Health Partnership","S02000987"
"S03000020","Renfrewshire Community Health Partnership","S02000990"
"S03000020","Renfrewshire Community Health Partnership","S02000993"
"S03000020","Renfrewshire Community Health Partnership","S02000991"
"S03000020","Renfrewshire Community Health Partnership","S02000986"
"S03000020","Renfrewshire Community Health Partnership","S02000985"
"S03000020","Renfrewshire Community Health Partnership","S02001005"
"S03000020","Renfrewshire Community Health Partnership","S02000998"
"S03000020","Renfrewshire Community Health Partnership","S02001014"
"S03000020","Renfrewshire Community Health Partnership","S02001013"
"S03000020","Renfrewshire Community Health Partnership","S02001011"
"S03000020","Renfrewshire Community Health Partnership","S02001017"
"S03000020","Renfrewshire Community Health Partnership","S02000992"
"S03000020","Renfrewshire Community Health Partnership","S02001009"
"S03000020","Renfrewshire Community Health Partnership","S02001012"
"S03000020","Renfrewshire Community Health Partnership","S02001020"
"S03000020","Renfrewshire Community Health Partnership","S02001019"
"S03000020","Renfrewshire Community Health Partnership","S02001018"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000622"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000614"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000624"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000609"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000607"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000605"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000604"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000602"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000612"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000610"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000615"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000616"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000628"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000603"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000599"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000598"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000584"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000591"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000600"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000595"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000589"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000588"
"S03000021","South East Glasgow Community Health & Care Partnership","S02000585"
"S03000030","South Lanarkshire Community Health Partnership","S02001081"
"S03000030","South Lanarkshire Community Health Partnership","S02001085"
"S03000030","South Lanarkshire Community Health Partnership","S02001113"
"S03000030","South Lanarkshire Community Health Partnership","S02001158"
"S03000030","South Lanarkshire Community Health Partnership","S02001155"
"S03000030","South Lanarkshire Community Health Partnership","S02001151"
"S03000030","South Lanarkshire Community Health Partnership","S02001145"
"S03000030","South Lanarkshire Community Health Partnership","S02001142"
"S03000030","South Lanarkshire Community Health Partnership","S02001147"
"S03000030","South Lanarkshire Community Health Partnership","S02001144"
"S03000030","South Lanarkshire Community Health Partnership","S02001140"
"S03000030","South Lanarkshire Community Health Partnership","S02001143"
"S03000030","South Lanarkshire Community Health Partnership","S02001114"
"S03000030","South Lanarkshire Community Health Partnership","S02001111"
"S03000030","South Lanarkshire Community Health Partnership","S02001141"
"S03000030","South Lanarkshire Community Health Partnership","S02001128"
"S03000030","South Lanarkshire Community Health Partnership","S02001156"
"S03000030","South Lanarkshire Community Health Partnership","S02001157"
"S03000030","South Lanarkshire Community Health Partnership","S02001159"
"S03000030","South Lanarkshire Community Health Partnership","S02001153"
"S03000030","South Lanarkshire Community Health Partnership","S02001162"
"S03000030","South Lanarkshire Community Health Partnership","S02001149"
"S03000030","South Lanarkshire Community Health Partnership","S02001148"
"S03000030","South Lanarkshire Community Health Partnership","S02001154"
"S03000030","South Lanarkshire Community Health Partnership","S02001150"
"S03000030","South Lanarkshire Community Health Partnership","S02001161"
"S03000030","South Lanarkshire Community Health Partnership","S02001160"
"S03000030","South Lanarkshire Community Health Partnership","S02001146"
"S03000030","South Lanarkshire Community Health Partnership","S02001152"
"S03000030","South Lanarkshire Community Health Partnership","S02001121"
"S03000030","South Lanarkshire Community Health Partnership","S02001125"
"S03000030","South Lanarkshire Community Health Partnership","S02001131"
"S03000030","South Lanarkshire Community Health Partnership","S02001130"
"S03000030","South Lanarkshire Community Health Partnership","S02001126"
"S03000030","South Lanarkshire Community Health Partnership","S02001132"
"S03000030","South Lanarkshire Community Health Partnership","S02001136"
"S03000030","South Lanarkshire Community Health Partnership","S02001138"
"S03000030","South Lanarkshire Community Health Partnership","S02001135"
"S03000030","South Lanarkshire Community Health Partnership","S02001124"
"S03000030","South Lanarkshire Community Health Partnership","S02001120"
"S03000030","South Lanarkshire Community Health Partnership","S02001117"
"S03000030","South Lanarkshire Community Health Partnership","S02001112"
"S03000030","South Lanarkshire Community Health Partnership","S02001108"
"S03000030","South Lanarkshire Community Health Partnership","S02001083"
"S03000030","South Lanarkshire Community Health Partnership","S02001123"
"S03000030","South Lanarkshire Community Health Partnership","S02001110"
"S03000030","South Lanarkshire Community Health Partnership","S02001116"
"S03000030","South Lanarkshire Community Health Partnership","S02001109"
"S03000030","South Lanarkshire Community Health Partnership","S02001105"
"S03000030","South Lanarkshire Community Health Partnership","S02001089"
"S03000030","South Lanarkshire Community Health Partnership","S02001098"
"S03000030","South Lanarkshire Community Health Partnership","S02001094"
"S03000030","South Lanarkshire Community Health Partnership","S02001092"
"S03000030","South Lanarkshire Community Health Partnership","S02001084"
"S03000030","South Lanarkshire Community Health Partnership","S02001087"
"S03000030","South Lanarkshire Community Health Partnership","S02001082"
"S03000030","South Lanarkshire Community Health Partnership","S02001091"
"S03000030","South Lanarkshire Community Health Partnership","S02001090"
"S03000030","South Lanarkshire Community Health Partnership","S02001086"
"S03000030","South Lanarkshire Community Health Partnership","S02001093"
"S03000030","South Lanarkshire Community Health Partnership","S02001088"
"S03000030","South Lanarkshire Community Health Partnership","S02001107"
"S03000030","South Lanarkshire Community Health Partnership","S02001139"
"S03000030","South Lanarkshire Community Health Partnership","S02001137"
"S03000030","South Lanarkshire Community Health Partnership","S02001129"
"S03000030","South Lanarkshire Community Health Partnership","S02001133"
"S03000030","South Lanarkshire Community Health Partnership","S02001127"
"S03000030","South Lanarkshire Community Health Partnership","S02001119"
"S03000030","South Lanarkshire Community Health Partnership","S02001115"
"S03000030","South Lanarkshire Community Health Partnership","S02001122"
"S03000030","South Lanarkshire Community Health Partnership","S02001118"
"S03000030","South Lanarkshire Community Health Partnership","S02001134"
"S03000030","South Lanarkshire Community Health Partnership","S02001099"
"S03000030","South Lanarkshire Community Health Partnership","S02001104"
"S03000030","South Lanarkshire Community Health Partnership","S02001100"
"S03000030","South Lanarkshire Community Health Partnership","S02001096"
"S03000030","South Lanarkshire Community Health Partnership","S02001103"
"S03000030","South Lanarkshire Community Health Partnership","S02001095"
"S03000030","South Lanarkshire Community Health Partnership","S02001102"
"S03000030","South Lanarkshire Community Health Partnership","S02001106"
"S03000030","South Lanarkshire Community Health Partnership","S02001097"
"S03000030","South Lanarkshire Community Health Partnership","S02001101"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000631"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000642"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000634"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000621"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000596"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000594"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000593"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000592"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000587"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000586"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000644"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000660"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000638"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000649"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000656"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000625"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000639"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000637"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000627"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000641"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000601"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000606"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000608"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000617"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000597"
"S03000022","South West Glasgow Community Health & Care Partnership","S02000590"
"S03000023","West Dunbartonshire Community Health Partnership","S02001184"
"S03000023","West Dunbartonshire Community Health Partnership","S02001194"
"S03000023","West Dunbartonshire Community Health Partnership","S02001190"
"S03000023","West Dunbartonshire Community Health Partnership","S02001193"
"S03000023","West Dunbartonshire Community Health Partnership","S02001201"
"S03000023","West Dunbartonshire Community Health Partnership","S02001185"
"S03000023","West Dunbartonshire Community Health Partnership","S02001187"
"S03000023","West Dunbartonshire Community Health Partnership","S02001189"
"S03000023","West Dunbartonshire Community Health Partnership","S02001186"
"S03000023","West Dunbartonshire Community Health Partnership","S02001188"
"S03000023","West Dunbartonshire Community Health Partnership","S02001191"
"S03000023","West Dunbartonshire Community Health Partnership","S02001192"
"S03000023","West Dunbartonshire Community Health Partnership","S02001197"
"S03000023","West Dunbartonshire Community Health Partnership","S02001196"
"S03000023","West Dunbartonshire Community Health Partnership","S02001199"
"S03000023","West Dunbartonshire Community Health Partnership","S02001195"
"S03000023","West Dunbartonshire Community Health Partnership","S02001198"
"S03000023","West Dunbartonshire Community Health Partnership","S02001200"
"S03000024","West Glasgow Community Health & Care Partnership","S02000658"
"S03000024","West Glasgow Community Health & Care Partnership","S02000647"
"S03000024","West Glasgow Community Health & Care Partnership","S02000655"
"S03000024","West Glasgow Community Health & Care Partnership","S02000677"
"S03000024","West Glasgow Community Health & Care Partnership","S02000672"
"S03000024","West Glasgow Community Health & Care Partnership","S02000664"
"S03000024","West Glasgow Community Health & Care Partnership","S02000671"
"S03000024","West Glasgow Community Health & Care Partnership","S02000668"
"S03000024","West Glasgow Community Health & Care Partnership","S02000679"
"S03000024","West Glasgow Community Health & Care Partnership","S02000681"
"S03000024","West Glasgow Community Health & Care Partnership","S02000689"
"S03000024","West Glasgow Community Health & Care Partnership","S02000683"
"S03000024","West Glasgow Community Health & Care Partnership","S02000665"
"S03000024","West Glasgow Community Health & Care Partnership","S02000675"
"S03000024","West Glasgow Community Health & Care Partnership","S02000705"
"S03000024","West Glasgow Community Health & Care Partnership","S02000698"
"S03000024","West Glasgow Community Health & Care Partnership","S02000699"
"S03000024","West Glasgow Community Health & Care Partnership","S02000709"
"S03000024","West Glasgow Community Health & Care Partnership","S02000706"
"S03000024","West Glasgow Community Health & Care Partnership","S02000703"
"S03000024","West Glasgow Community Health & Care Partnership","S02000707"
"S03000024","West Glasgow Community Health & Care Partnership","S02000696"
"S03000024","West Glasgow Community Health & Care Partnership","S02000673"
"S03000024","West Glasgow Community Health & Care Partnership","S02000684"
"S03000024","West Glasgow Community Health & Care Partnership","S02000686"
"S03000024","West Glasgow Community Health & Care Partnership","S02000682"
"S03000024","West Glasgow Community Health & Care Partnership","S02000712"
"S03000024","West Glasgow Community Health & Care Partnership","S02000711"
"S03000024","West Glasgow Community Health & Care Partnership","S02000716"
"S03000024","West Glasgow Community Health & Care Partnership","S02000715"
"S03000024","West Glasgow Community Health & Care Partnership","S02000714"
"S03000024","West Glasgow Community Health & Care Partnership","S02000669"
"S03000024","West Glasgow Community Health & Care Partnership","S02000651"
"S03000024","West Glasgow Community Health & Care Partnership","S02000661"
